local_x,local_y,local_z
89636.975,43128.0381,43.1
89635.7541,43129.9285,43.1
89634.486,43131.8999,43.1
89633.0198,43134.0843,43.1
89631.6166,43136.3632,43.1
89629.8394,43139.1876,43.1
89627.3175,43143.1404,43.1
89625.6871,43145.63,43.1
89624.1793,43148.1448,43.1
89622.5268,43150.6733,43.1
89620.932,43153.3023,43.1
89619.8883,43154.8726,43.1
89618.5844,43156.9792,43.1
89617.3398,43158.8336,43.1
89616.8091,43159.7327,43.1
89616.4142,43160.3714,43.1
89616.1222,43160.9913,43.1
89616.0987,43161.472,43.1
89616.2023,43161.9083,43.1
89616.4179,43162.5185,43.1
89616.8087,43162.994,43.1
89617.2936,43163.2341,43.1
89617.7219,43163.3925,43.1
89618.3444,43163.2917,43.1
89618.9245,43162.9003,43.1
89619.5085,43162.1521,43.1
89619.9478,43161.3032,43.1
89621.4884,43158.7363,43.1
89622.8006,43156.6754,43.1
89623.8707,43155.088,43.1
89625.1528,43153.0821,43.1
89626.0428,43151.6947,43.1
89627.2611,43149.6704,43.1
89628.3364,43147.9277,43.1
89629.2543,43146.3973,43.1
89630.0419,43145.1763,43.1
89631.3545,43143.2051,43.1
89632.0558,43141.8421,43.1
89633.2635,43140.0345,43.1
89634.076,43138.8212,43.1
89635.4402,43136.6839,43.1
89637.0119,43134.567,43.1
89637.682,43133.8187,43.1
89638.6194,43133.1028,43.1
89639.6575,43132.5327,43.1
89640.9818,43132.1948,43.1
89642.6935,43132.0076,43.1
89644.6201,43132.2912,43.1
89646.4288,43132.8356,43.1
89648.6004,43134.2552,43.1
89649.7512,43135.4102,43.1
89650.7166,43136.9982,43.1
89651.2648,43138.8675,43.1
89651.4947,43141.2668,43.1
89651.299,43142.4608,43.1
89650.8192,43143.8134,43.1
89649.9152,43145.4173,43.1
89649.1198,43146.5621,43.1
89648.1431,43148.3168,43.1
89647.2313,43149.7982,43.1
89646.2195,43151.4535,43.1
89645.2248,43153.1926,43.1
89643.7834,43155.1736,43.1
89642.8271,43156.6122,43.1
89641.4988,43158.7578,43.1
89640.5454,43160.1753,43.1
89639.0668,43162.4467,43.1
89637.8795,43164.2705,43.1
89636.6784,43166.0978,43.1
89634.4376,43169.4958,43.1
89633.5603,43170.4467,43.1
89633.0506,43171.1076,43.1
89632.2352,43172.262,43.1
89631.5884,43173.3537,43.1
89631.2009,43174.1684,43.1
89630.7291,43175.0429,43.1
89629.9816,43175.8219,43.1
89629.1185,43176.5069,43.1
89628.2214,43176.7419,43.1
89627.2854,43176.766,43.1
89625.8814,43176.7497,43.1
89625.1485,43176.9033,43.1
89624.4684,43177.2022,43.1
89623.7455,43177.7997,43.1
89623.2461,43178.4697,43.1
89622.9728,43179.1921,43.1
89622.9749,43180.3974,43.1
89623.1393,43181.1134,43.1
89623.5815,43181.9065,43.1
89624.2271,43182.3886,43.1
89625.0005,43182.8473,43.1
89625.584,43183.2249,43.1
89626.7122,43183.9357,43.1
89627.3771,43184.4477,43.1
89627.8234,43184.8649,43.1
89628.2794,43185.1662,43.1
89628.8911,43185.3714,43.1
89629.2731,43185.4585,43.1
89629.9001,43185.4165,43.1
89630.4754,43185.2478,43.1
89631.0261,43184.8803,43.1
89631.4828,43184.3341,43.1
89631.8121,43183.6561,43.1
89632.1877,43182.9499,43.1
89632.5493,43182.138,43.1
89632.9211,43181.4004,43.1
89633.3825,43180.5095,43.1
