local_x,local_y,local_z
89657.1633,43130.0203,43.1
89657.1682,43129.2555,43.1
89657.1732,43128.4907,43.1
89657.1782,43127.7259,43.1
89657.1486,43126.9653,43.1
89656.9619,43126.2248,43.1
89656.6798,43125.5165,43.1
89656.2883,43124.8641,43.1
89655.8052,43124.2712,43.1
89655.2345,43123.7721,43.1
89654.6524,43123.2858,43.1
89654.0626,43122.8105,43.1
89653.4477,43122.3639,43.1
89652.8198,43121.9376,43.1
89652.1524,43121.5632,43.1
89651.4827,43121.1973,43.1
89650.8092,43120.8505,43.1
89650.138,43120.5354,43.1
89648.7755,43120.3695,43.1
89648.0288,43120.5363,43.1
89647.2762,43120.6752,43.1
89646.5266,43120.8274,43.1
89645.7882,43121.029,43.1
89645.0498,43121.2305,43.1
89644.3045,43121.4045,43.1
89643.5564,43121.5663,43.1
89642.8083,43121.7282,43.1
89642.0663,43121.9138,43.1
89641.3245,43122.0997,43.1
89640.5685,43122.2156,43.1
89639.8207,43122.3724,43.1
89639.0799,43122.5647,43.1
89638.3417,43122.7652,43.1
89637.6266,43123.035,43.1
89636.9212,43123.3303,43.1
89636.2573,43123.7042,43.1
89635.6296,43124.128,43.1
89635.0658,43124.6458,43.1
89634.5403,43125.2,43.1
89634.0254,43125.7643,43.1
