local_x,local_y,local_z
89660.3701,43128.8083,43.1
89660.442,43126.7651,43.1
89660.509,43124.861,43.1
89660.1988,43123.595,43.1
89659.6648,43122.514,43.1
89658.7661,43121.4686,43.1
89657.4947,43120.579,43.1
89655.9215,43119.5709,43.1
89654.8228,43118.9633,43.1
89653.6845,43118.346,43.1
89652.6039,43117.7103,43.1
89651.7867,43117.1286,43.1
89651.092,43116.6193,43.1
89650.5747,43116.1152,43.1
89649.6781,43116.4009,43.1
89648.6402,43116.6203,43.1
89646.905,43116.9241,43.1
89644.8733,43117.4979,43.1
89641.9709,43118.1512,43.1
89640.2995,43118.6342,43.1
89638.758,43118.824,43.1
89636.5698,43119.4091,43.1
89634.7101,43120.1619,43.1
89633.442,43121.0013,43.1
89632.1859,43122.15,43.1
89631.0758,43123.4905,43.1
