local_x,local_y,local_z
89653.9564,43131.2322,43.1
89653.9083,43130.1375,43.1
89653.8787,43129.4623,43.1
89653.7478,43128.8131,43.1
89653.5785,43128.3257,43.1
89653.3504,43127.8006,43.1
89653.0692,43127.3652,43.1
89652.6234,43126.7927,43.1
89651.7781,43125.7834,43.1
89651.0104,43125.0192,43.1
89650.1732,43124.5215,43.1
89649.4596,43124.3081,43.1
89648.4018,43124.1967,43.1
89647.5372,43124.4318,43.1
89646.6225,43124.6077,43.1
89644.7728,43125.0822,43.1
89641.9357,43125.6526,43.1
89639.9908,43126.131,43.1
89638.2856,43126.8253,43.1
89636.975,43128.0381,43.1
