local_x,local_y,local_z
89634.0254,43125.7643,43.1
89633.5244,43126.566,43.1
89633.0234,43127.3678,43.1
89632.5228,43128.1698,43.1
89632.0227,43128.9721,43.1
89631.5196,43129.7726,43.1
89631.0051,43130.5657,43.1
89630.4894,43131.3581,43.1
89629.9716,43132.1491,43.1
89629.4611,43132.9448,43.1
89628.9521,43133.7415,43.1
89628.4431,43134.5382,43.1
89627.9201,43135.3255,43.1
89627.3943,43136.1109,43.1
89626.8685,43136.8963,43.1
89626.3427,43137.6817,43.1
89625.8154,43138.4662,43.1
89625.2926,43139.2535,43.1
89624.8202,43140.0716,43.1
89624.3479,43140.8897,43.1
89623.8668,43141.7029,43.1
89623.3712,43142.5078,43.1
89622.8752,43143.3124,43.1
89622.3792,43144.1169,43.1
89621.8872,43144.924,43.1
89621.3656,43145.7115,43.1
89620.8439,43146.4991,43.1
89620.3319,43147.2933,43.1
89619.8216,43148.0893,43.1
89619.3114,43148.8852,43.1
89618.8009,43149.681,43.1
89618.2863,43150.4738,43.1
89617.774,43151.2681,43.1
89617.268,43152.0666,43.1
89616.7644,43152.8665,43.1
89616.2689,43153.6712,43.1
89615.8032,43154.492,43.1
89615.318,43155.3028,43.1
89614.8193,43156.1061,43.1
89614.3111,43156.9033,43.1
89613.818,43157.7087,43.1
89613.3242,43158.5142,43.1
89612.9399,43159.3674,43.1
89612.5918,43160.2339,43.1
89612.3694,43161.1382,43.1
89612.2535,43162.1325,43.1
89612.3524,43163.1516,43.1
89612.5014,43164.0742,43.1
89612.7735,43164.7901,43.1
89613.2438,43165.3971,43.1
89613.8787,43166.1051,43.1
89614.9534,43166.8627,43.1
89615.9696,43167.1841,43.1
89617.4165,43167.1614,43.1
89619.7172,43166.6846,43.1
89620.5313,43166.3457,43.1
89621.3221,43165.7372,43.1
89622.0832,43164.7404,43.1
89623.3255,43162.7272,43.1
89625.4888,43159.3975,43.1
89626.0425,43158.6368,43.1
89626.5516,43157.8408,43.1
89627.0892,43157.0661,43.1
89627.6027,43156.2737,43.1
89628.1081,43155.4748,43.1
89628.6226,43154.6815,43.1
89629.1409,43153.8907,43.1
89629.6511,43153.0951,43.1
89630.1458,43152.2899,43.1
89630.5999,43151.4609,43.1
89631.069,43150.6408,43.1
89631.5768,43149.8435,43.1
89632.0911,43149.0502,43.1
89632.6057,43148.2572,43.1
89633.1069,43147.4563,43.1
89633.5763,43146.6366,43.1
89634.0424,43145.8153,43.1
89634.5146,43144.9991,43.1
89635.0018,43144.1932,43.1
89635.4903,43143.388,43.1
89636.0057,43142.6011,43.1
89636.5568,43141.8486,43.1
89637.1423,43141.1357,43.1
89639.0982,43138.7338,43.1
89641.2801,43137.1282,43.1
89643.0392,43136.6151,43.1
89644.6852,43136.5349,43.1
89645.488,43136.899,43.1
89646.2846,43137.2837,43.1
89646.9648,43137.9185,43.1
89647.3784,43138.7571,43.1
89647.5426,43139.6392,43.1
89647.4279,43140.4994,43.1
89647.2468,43141.3183,43.1
89647.0297,43142.1834,43.1
89646.8057,43143.0499,43.1
89646.5571,43143.9155,43.1
89646.2185,43144.7781,43.1
89645.8128,43145.6231,43.1
89645.3787,43146.4572,43.1
89644.8921,43147.2675,43.1
89644.3989,43148.0737,43.1
89643.8768,43148.8617,43.1
89643.378,43149.6643,43.1
89642.8997,43150.4796,43.1
89642.4167,43151.2922,43.1
89641.9231,43152.0987,43.1
89641.4273,43152.9038,43.1
89640.9307,43153.7083,43.1
89640.4367,43154.5144,43.1
89639.9512,43155.3256,43.1
89639.4657,43156.1367,43.1
89638.9357,43156.9191,43.1
89638.4056,43157.7014,43.1
89637.8793,43158.4865,43.1
89637.3648,43159.2797,43.1
89636.8542,43160.0753,43.1
89636.3518,43160.8763,43.1
89635.8488,43161.6769,43.1
89635.3315,43162.4682,43.1
89634.8068,43163.2548,43.1
89634.2901,43164.0466,43.1
89633.7792,43164.8421,43.1
89633.2582,43165.631,43.1
89632.7387,43166.4209,43.1
89632.2296,43167.2164,43.1
89631.635,43167.9423,43.1
89630.9943,43168.6148,43.1
89629.4998,43169.9181,43.1
89628.2935,43171.3545,43.1
89626.5292,43173.0098,43.1
89623.9983,43174.2473,43.1
89621.9297,43175.4803,43.1
89619.9969,43176.855,43.1
89619.2065,43178.433,43.1
89618.9179,43180.1598,43.1
89618.9218,43181.8013,43.1
89618.9392,43182.3899,43.1
89619.702,43183.8072,43.1
89621.1847,43185.0469,43.1
89622.707,43185.9815,43.1
89623.4371,43186.5652,43.1
89624.2335,43187.0731,43.1
89625.0477,43187.5527,43.1
89625.8786,43187.9985,43.1
89626.7083,43188.4362,43.1
89627.5252,43188.8582,43.1
89628.4013,43189.1511,43.1
89629.3296,43189.204,43.1
89630.2642,43189.0827,43.1
89631.1441,43188.8036,43.1
89631.8833,43188.291,43.1
89632.5431,43187.6984,43.1
89633.1888,43187.0803,43.1
89633.7746,43186.3721,43.1
89634.3715,43185.6678,43.1
89634.9301,43184.9129,43.1
89635.5138,43184.1707,43.1
89636.14,43183.4749,43.1
89636.7702,43182.7858,43.1
89637.4078,43182.1078,43.1
89638.0774,43181.5314,43.1
89638.7921,43180.9966,43.1
89639.5769,43180.5376,43.1
89640.4957,43180.3528,43.1
89641.434,43180.305,43.1
89642.3721,43180.3844,43.1
89643.2932,43180.5409,43.1
89644.1665,43180.8343,43.1
89644.9925,43181.2316,43.1
89645.8342,43181.6095,43.1
89646.691,43181.9696,43.1
89647.5415,43182.3562,43.1
89648.391,43182.7465,43.1
89649.236,43183.1519,43.1
89650.0757,43183.5717,43.1
89650.9035,43184.0221,43.1
89651.7211,43184.4945,43.1
89652.5268,43184.9886,43.1
89653.3289,43185.4883,43.1
89654.1117,43186.0171,43.1
89654.8919,43186.5493,43.1
89655.644,43187.1221,43.1
89656.4228,43187.6392,43.1
89657.2286,43188.0867,43.1
89658.0757,43188.3659,43.1
89658.9601,43188.5668,43.1
89659.8689,43188.6122,43.1
89660.731,43188.2746,43.1
89661.4529,43187.6785,43.1
89661.9725,43186.9068,43.1
89662.279,43186.0541,43.1
89662.4676,43185.2084,43.1
89662.4274,43184.4793,43.1
89662.3132,43183.8437,43.1
89662.1853,43183.2152,43.1
89662.0443,43182.6098,43.1
89661.9249,43181.9574,43.1
89661.8043,43181.2749,43.1
89661.6849,43180.5904,43.1
89661.4848,43179.9052,43.1
89661.1923,43179.2382,43.1
89660.7594,43178.6082,43.1
89660.1949,43178.0259,43.1
89659.5403,43177.5151,43.1
89658.823,43177.0541,43.1
89658.0594,43176.6292,43.1
89657.281,43176.2202,43.1
89656.4357,43175.8878,43.1
89655.5915,43175.5403,43.1
89654.7384,43175.1726,43.1
89652.7455,43174.5447,43.1
89650.1141,43173.5961,43.1
89647.0898,43172.6874,43.1
89644.7843,43170.6105,43.1
89644.2435,43168.578,43.1
89644.6767,43166.9768,43.1
89645.4792,43165.1138,43.1
89647.3975,43163.3207,43.1
89648.2753,43162.9755,43.1
89649.1434,43162.6012,43.1
89650.0149,43162.235,43.1
89650.8883,43161.8733,43.1
89651.7752,43161.5518,43.1
89652.6534,43161.2079,43.1
89653.5146,43160.8188,43.1
89654.3698,43160.4161,43.1
89655.2325,43160.034,43.1
89656.1255,43159.8373,43.1
89657.2047,43159.7769,43.1
89659.0365,43160.1497,43.1
89661.3813,43160.7904,43.1
89662.867,43162.9655,43.1
89663.466,43163.9631,43.1
89663.9743,43165.9976,43.1
89663.9784,43167.6896,43.1
89665.0187,43169.6735,43.1
89666.5028,43170.7914,43.1
89668.2133,43171.3762,43.1
89669.9922,43171.5882,43.1
89672.1775,43170.9887,43.1
89672.9861,43170.1276,43.1
89673.5856,43169.322,43.1
89674.1917,43168.6281,43.1
89674.717,43167.8445,43.1
89675.1123,43167.0027,43.1
89675.5566,43166.1751,43.1
89676.054,43165.3729,43.1
89676.5676,43164.5875,43.1
89677.0607,43163.7885,43.1
89677.6403,43163.0499,43.1
89678.2357,43162.3228,43.1
89678.8401,43161.6087,43.1
89679.4395,43160.889,43.1
89680.0268,43160.1536,43.1
89680.3764,43159.3036,43.1
89680.5458,43158.4253,43.1
89680.6296,43157.5097,43.1
89680.5045,43156.5766,43.1
89680.2282,43155.6811,43.1
89679.8786,43154.8238,43.1
89679.3937,43154.0948,43.1
89678.917,43153.3753,43.1
89678.471,43152.6496,43.1
89677.9659,43151.9133,43.1
89677.4012,43151.1948,43.1
89676.7786,43150.5344,43.1
89676.0755,43149.9663,43.1
89675.3568,43149.4168,43.1
89674.3934,43148.5721,43.1
89673.1457,43147.6599,43.1
89672.253,43147.1235,43.1
89670.7607,43146.8387,43.1
89668.2756,43147.1937,43.1
89665.5114,43147.696,43.1
89663.6619,43147.9824,43.1
89662.1313,43147.8744,43.1
89659.954,43147.5727,43.1
89658.0371,43146.3854,43.1
89656.8673,43144.7213,43.1
89656.0814,43142.0622,43.1
89656.2877,43139.2568,43.1
89656.526,43135.6436,43.1
89656.6534,43134.7094,43.1
89656.7864,43133.7764,43.1
89656.9113,43132.8417,43.1
89657.0348,43131.9067,43.1
89657.0998,43130.9636,43.1
89657.1633,43130.0203,43.1
