local_x,local_y,local_z
89631.0758,43123.4905,43.1
89629.9659,43125.3204,43.1
89628.6648,43127.4672,43.1
89627.0138,43130.0758,43.1
89625.1193,43132.9462,43.1
89623.1689,43135.706,43.1
89621.8171,43137.6276,43.1
89620.5968,43139.9483,43.1
89618.4066,43143.7031,43.1
89616.8951,43145.7975,43.1
89615.0285,43148.7605,43.1
89613.9542,43150.3328,43.1
89612.989,43151.7986,43.1
89612.216,43153.1456,43.1
89611.7655,43154.0835,43.1
89611.1437,43155.0962,43.1
89610.1174,43156.728,43.1
89609.6751,43157.5681,43.1
89609.1719,43158.4288,43.1
89608.6178,43160.7543,43.1
89608.7082,43163.4473,43.1
89609.3983,43165.7638,43.1
89610.8274,43167.8585,43.1
89611.5567,43168.6561,43.1
89613.0761,43169.7506,43.1
89614.948,43170.662,43.1
89616.8206,43171.1074,43.1
89618.6839,43171.0665,43.1
89620.6261,43170.8405,43.1
89621.8027,43170.434,43.1
89622.8698,43169.6271,43.1
89623.9906,43168.7676,43.1
89624.661,43167.9154,43.1
89625.2363,43166.9971,43.1
89625.8452,43166.278,43.1
89626.609,43165.0964,43.1
89628.198,43162.6579,43.1
89630.1101,43159.3518,43.1
89631.8708,43156.5609,43.1
89632.7446,43154.8708,43.1
89634.2035,43151.9188,43.1
89635.1363,43150.1666,43.1
89636.5526,43147.4433,43.1
89637.7706,43145.3369,43.1
89639.107,43143.3702,43.1
89640.0539,43141.7317,43.1
89640.4955,43140.964,43.1
89640.9988,43140.2507,43.1
89641.5146,43139.8433,43.1
89642.0497,43139.5746,43.1
89642.7755,43139.4799,43.1
89643.3838,43139.6895,43.1
89643.9278,43140.0376,43.1
89644.243,43140.5118,43.1
89644.4628,43141.126,43.1
89644.4062,43141.7313,43.1
89644.3389,43142.2204,43.1
89644.0019,43142.9138,43.1
89643.5217,43143.4071,43.1
89641.0041,43147.3997,43.1
89639.2145,43150.2198,43.1
89637.7965,43152.4543,43.1
89636.1482,43155.1608,43.1
89633.6975,43159.0956,43.1
89632.1731,43161.4962,43.1
89630.0059,43164.9127,43.1
89628.6271,43166.9955,43.1
89627.6712,43168.5019,43.1
89626.7475,43169.8657,43.1
89626.2314,43170.7337,43.1
89625.719,43171.3258,43.1
89625.2216,43171.7142,43.1
89624.8231,43172.0644,43.1
89624.4204,43172.2514,43.1
89623.8897,43172.4316,43.1
89623.5145,43172.5176,43.1
89623.1116,43172.5858,43.1
89622.2369,43172.6977,43.1
